anio;provincia_id;provincia_nombre;dpto_id;dpto_nombre;codigo_delito_agrupado_nombre;cantidad_hechos;cantidad_victimas;
2014;6;Buenos Aires;;Azul;Total de vmctimas de otros delitos contra la integridad sexual;;17;
2014;6;Buenos Aires;;Azul;Total de hechos de amenazas;258;;
2014;6;Buenos Aires;;Azul;Total de delitos contra la propiedad;711;;
2014;6;Buenos Aires;;Azul;Total de hechos de robos;220;;
2014;6;Buenos Aires;;Azul;Total de hechos de hurtos;339;;
2014;6;Buenos Aires;;Bahia Blanca;Total de hechos delictivos;4757;;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de delitos contra las personas;;1066;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de homicidios dolosos;;11;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de lesiones dolosas;;792;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de muertes en siniestros viales;;25;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de lesiones culposas en siniestros viales;;172;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de violaciones;;2;
2014;6;Buenos Aires;;Bahia Blanca;Total de vmctimas de otros delitos contra la integridad sexual;;46;
2014;6;Buenos Aires;;Bahia Blanca;Total de hechos de amenazas;369;;
2014;6;Buenos Aires;;Bahia Blanca;Total de delitos contra la propiedad;2533;;
2014;6;Buenos Aires;;Bahia Blanca;Total de hechos de robos;1107;;
2014;6;Buenos Aires;;Bahia Blanca;Total de hechos de hurtos;889;;
2014;6;Buenos Aires;;Balcarce;Total de hechos delictivos;249;;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de delitos contra las personas;;62;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de homicidios dolosos;;5;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de lesiones dolosas;;49;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de muertes en siniestros viales;;0;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de lesiones culposas en siniestros viales;;6;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Balcarce;Total de vmctimas de otros delitos contra la integridad sexual;;0;
2014;6;Buenos Aires;;Balcarce;Total de hechos de amenazas;49;;
2014;6;Buenos Aires;;Balcarce;Total de delitos contra la propiedad;97;;
2014;6;Buenos Aires;;Balcarce;Total de hechos de robos;28;;
2014;6;Buenos Aires;;Balcarce;Total de hechos de hurtos;29;;
2014;6;Buenos Aires;;Baradero;Total de hechos delictivos;498;;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de delitos contra las personas;;108;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de homicidios dolosos;;1;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de lesiones dolosas;;34;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de muertes en siniestros viales;;4;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de lesiones culposas en siniestros viales;;62;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de violaciones;;1;
2014;6;Buenos Aires;;Baradero;Total de vmctimas de otros delitos contra la integridad sexual;;4;
2014;6;Buenos Aires;;Baradero;Total de hechos de amenazas;50;;
2014;6;Buenos Aires;;Baradero;Total de delitos contra la propiedad;171;;
2014;6;Buenos Aires;;Baradero;Total de hechos de robos;38;;
2014;6;Buenos Aires;;Baradero;Total de hechos de hurtos;48;;
2014;6;Buenos Aires;;Benito Juarez;Total de hechos delictivos;423;;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de delitos contra las personas;;147;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de homicidios dolosos;;0;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de lesiones dolosas;;104;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de muertes en siniestros viales;;4;
