anio;provincia_id;provincia_nombre;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas
2014;14;Csrdoba;19;Hurtos;27272;
2014;14;Csrdoba;20;Tentativas de hurto;827;
2014;14;Csrdoba;21;Otros delitos contra la propiedad;13136;
2014;14;Csrdoba;22;Delitos contra la seguridad pzblica;179;
2014;14;Csrdoba;23;Delitos contra el orden pzblico;25;
2014;14;Csrdoba;24;Delitos contra la seguridad de la nacisn;9;
2014;14;Csrdoba;25;Delitos contra los poderes pzblicos y el orden constitucional;25;
2014;14;Csrdoba;26;Delitos contra la administracisn pzblica;3912;
2014;14;Csrdoba;27;Delitos contra la fe pzblica;444;
2014;14;Csrdoba;28;Ley 23.737 (estupefacientes);740;
2014;14;Csrdoba;29;Otros delitos previstos en leyes especiales;1892;
2014;14;Csrdoba;30;Figuras contravencionales;21471;
2014;18;Corrientes;1;Homicidios dolosos;21;21
2014;18;Corrientes;2;Homicidios dolosos en grado de tentativa;33;35
2014;18;Corrientes;3;Homicidios cuposos en siniestros viales;115;166
2014;18;Corrientes;4;Homicidios cuposos por otros hechos;0;0
2014;18;Corrientes;5;Lesiones dolosas;2903;3010
2014;18;Corrientes;6;Lesiones culposas en siniestros viales;986;1116
2014;18;Corrientes;7;Lesiones culposas por otros hechos;23;25
2014;18;Corrientes;8;Otros delitos contra las personas;201;203
2014;18;Corrientes;9;Delitos contra el honor;;0
2014;18;Corrientes;10;Violaciones;118;156
2014;18;Corrientes;11;Otros delitos contra la integridad sexual;229;280
2014;18;Corrientes;12;Delitos contra el estado civil;2;
2014;18;Corrientes;13;Amenazas;3779;
2014;18;Corrientes;14;Otros delitos contra la libertad;239;
2014;18;Corrientes;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);7136;
2014;18;Corrientes;16;Tentativas de robo;714;
2014;18;Corrientes;17;Robos agravados por el resultado de lesiones y/o muertes;0;
2014;18;Corrientes;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;0;
2014;18;Corrientes;19;Hurtos;2797;
2014;18;Corrientes;20;Tentativas de hurto;137;
2014;18;Corrientes;21;Otros delitos contra la propiedad;3906;
2014;18;Corrientes;22;Delitos contra la seguridad pzblica;160;
2014;18;Corrientes;23;Delitos contra el orden pzblico;3;
2014;18;Corrientes;24;Delitos contra la seguridad de la nacisn;0;
2014;18;Corrientes;25;Delitos contra los poderes pzblicos y el orden constitucional;0;
2014;18;Corrientes;26;Delitos contra la administracisn pzblica;279;
2014;18;Corrientes;27;Delitos contra la fe pzblica;54;
2014;18;Corrientes;28;Ley 23.737 (estupefacientes);42;
2014;18;Corrientes;29;Otros delitos previstos en leyes especiales;2371;
2014;18;Corrientes;30;Figuras contravencionales;47;
2014;22;Chaco;1;Homicidios dolosos;78;81
2014;22;Chaco;2;Homicidios dolosos en grado de tentativa;33;34
2014;22;Chaco;3;Homicidios cuposos en siniestros viales;167;175
2014;22;Chaco;4;Homicidios cuposos por otros hechos;65;69
2014;22;Chaco;5;Lesiones dolosas;2479;2841
2014;22;Chaco;6;Lesiones culposas en siniestros viales;1071;1555
2014;22;Chaco;7;Lesiones culposas por otros hechos;16;15
2014;22;Chaco;8;Otros delitos contra las personas;410;502
2014;22;Chaco;9;Delitos contra el honor;9;9
2014;22;Chaco;10;Violaciones;129;133
